AoA,Cl_s,Cd_s,Cm_s,f_s,Cl_inv,Cl_fs
-180.0,0.0,0.0,0.0,1.0,0.0,0.0
-175.0,0.174,0.01,0.022,1.0,0.174,0.174
-170.0,0.342,0.039,0.043,1.0,0.342,0.342
-165.0,0.5,0.087,0.065,1.0,0.5,0.5
-160.0,0.643,0.152,0.086,1.0,0.643,0.643
-155.0,0.766,0.232,0.106,1.0,0.766,0.766
-150.0,0.866,0.325,0.125,1.0,0.866,0.866
-145.0,0.94,0.428,0.143,1.0,0.94,0.94
-140.0,0.985,0.537,0.161,1.0,0.985,0.985
-135.0,1.0,0.65,0.177,1.0,1.0,1.0
-130.0,0.985,0.763,0.192,1.0,0.985,0.985
-125.0,0.94,0.872,0.205,1.0,0.94,0.94
-120.0,0.866,0.975,0.216,1.0,0.866,0.866
-115.0,0.766,1.068,0.227,1.0,0.766,0.766
-110.0,0.643,1.148,0.235,1.0,0.643,0.643
-105.0,0.5,1.213,0.241,1.0,0.5,0.5
-100.0,0.342,1.261,0.246,1.0,0.342,0.342
-95.0,0.174,1.29,0.249,1.0,0.174,0.174
-90.0,0.0,1.3,0.25,1.0,0.0,0.0
-85.0,-0.174,1.29,0.249,1.0,-0.174,-0.174
-80.0,-0.342,1.261,0.246,1.0,-0.342,-0.342
-75.0,-0.5,1.213,0.241,1.0,-0.5,-0.5
-70.0,-0.643,1.148,0.235,1.0,-0.643,-0.643
-65.0,-0.766,1.068,0.227,1.0,-0.766,-0.766
-60.0,-0.866,0.975,0.216,1.0,-0.866,-0.866
-55.0,-0.94,0.872,0.205,1.0,-0.94,-0.94
-50.0,-0.985,0.763,0.192,1.0,-0.985,-0.985
-45.0,-1.0,0.65,0.177,1.0,-1.0,-1.0
-40.0,-0.982,0.542,0.142,1.0,-0.982,-0.982
-39.0,-0.954,0.521,0.135,1.0,-0.954,-0.954
-38.0,-0.926,0.499,0.128,1.0,-0.926,-0.926
-37.0,-0.888,0.477,0.12,1.0,-0.888,-0.888
-36.0,-0.831,0.456,0.114,1.0,-0.831,-0.831
-35.0,-0.773,0.434,0.106,1.0,-0.773,-0.773
-34.0,-0.725,0.413,0.099,1.0,-0.725,-0.725
-33.0,-0.658,0.391,0.092,1.0,-0.658,-0.658
-32.0,-0.611,0.292,0.03,1.0,-0.611,-0.611
-30.0,-0.561,0.266,0.02,1.0,-0.561,-0.561
-28.0,-0.511,0.24,0.009,1.0,-0.511,-0.511
-26.0,-0.449,0.217,-0.001,1.0,-0.449,-0.449
-24.0,-0.388,0.194,-0.011,1.0,-0.388,-0.388
-22.0,-0.316,0.173,-0.02,1.0,-0.316,-0.316
-20.0,-0.244,0.153,-0.029,1.0,-0.244,-0.244
-18.0,-0.164,0.135,-0.037,1.0,-0.164,-0.164
-16.0,-0.084,0.118,-0.045,1.0,-0.084,-0.084
-14.0,0.002,0.104,-0.051,1.0,0.002,0.002
-12.0,0.088,0.089,-0.057,1.0,0.088,0.088
-10.0,0.172,0.077,-0.06,1.0,0.172,0.172
-8.0,0.256,0.066,-0.064,1.0,0.256,0.256
-6.0,0.318,0.056,-0.06,1.0,0.318,0.318
-4.0,0.38,0.047,-0.057,1.0,0.38,0.38
-2.0,0.357,0.041,-0.035,1.0,0.357,0.357
0.0,0.335,0.034,-0.013,1.0,0.335,0.335
2.0,0.565,0.032,-0.049,1.0,0.565,0.565
4.0,0.877,0.034,-0.089,1.0,0.877,0.877
6.0,1.043,0.045,-0.112,1.0,1.043,1.043
8.0,0.927,0.078,-0.12,1.0,0.927,0.927
10.0,0.825,0.117,-0.133,1.0,0.825,0.825
12.0,0.791,0.156,-0.149,1.0,0.791,0.791
14.0,0.789,0.193,-0.165,1.0,0.789,0.789
