AoA,Cl_s,Cd_s,Cm_s,f_s,Cl_inv,Cl_fs
-180.0,0.0,0.0,0.0,0.0,-29.274,0.0
-175.0,0.174,0.01,0.022,0.0,-28.447,0.174
-170.0,0.342,0.039,0.043,0.0,-27.619,0.342
-165.0,0.5,0.087,0.065,0.0,-26.792,0.5
-160.0,0.643,0.152,0.086,0.0,-25.965,0.643
-155.0,0.766,0.232,0.106,0.0,-25.138,0.766
-150.0,0.866,0.325,0.125,0.0,-24.311,0.866
-145.0,0.94,0.428,0.143,0.0,-23.483,0.94
-140.0,0.985,0.537,0.161,0.0,-22.656,0.985
-135.0,1.0,0.65,0.177,0.0,-21.829,1.0
-130.0,0.985,0.763,0.192,0.0,-21.002,0.985
-125.0,0.94,0.872,0.205,0.0,-20.175,0.94
-120.0,0.866,0.975,0.216,0.0,-19.347,0.866
-115.0,0.766,1.068,0.227,0.0,-18.52,0.766
-110.0,0.643,1.148,0.235,0.0,-17.693,0.643
-105.0,0.5,1.213,0.241,0.0,-16.866,0.5
-100.0,0.342,1.261,0.246,0.0,-16.039,0.342
-95.0,0.174,1.29,0.249,0.0,-15.211,0.174
-90.0,0.0,1.3,0.25,0.0,-14.384,0.0
-85.0,-0.174,1.29,0.249,0.0,-13.557,-0.174
-80.0,-0.342,1.261,0.246,0.0,-12.73,-0.342
-75.0,-0.5,1.213,0.241,0.0,-11.903,-0.5
-70.0,-0.643,1.148,0.235,0.0,-11.075,-0.643
-65.0,-0.766,1.068,0.227,0.0,-10.248,-0.766
-60.0,-0.866,0.975,0.216,0.0,-9.421,-0.866
-55.0,-0.94,0.872,0.205,0.0,-8.594,-0.94
-50.0,-0.985,0.763,0.192,0.0,-7.767,-0.985
-45.0,-1.0,0.65,0.177,0.0,-6.939,-1.0
-40.0,-0.972,0.542,0.142,0.0,-6.112,-0.972
-39.0,-0.964,0.521,0.135,0.0,-5.947,-0.964
-38.0,-0.936,0.499,0.128,0.0,-5.781,-0.936
-37.0,-0.928,0.477,0.12,0.0,-5.616,-0.928
-36.0,-0.901,0.456,0.114,0.0,-5.451,-0.901
-35.0,-0.893,0.434,0.106,0.0,-5.285,-0.893
-34.0,-0.875,0.413,0.099,0.0,-5.12,-0.875
-33.0,-0.848,0.391,0.092,0.0,-4.954,-0.848
-32.0,-0.826,0.302,0.045,0.0,-4.789,-0.826
-30.0,-0.818,0.268,0.033,0.0,-4.458,-0.818
-28.0,-0.809,0.234,0.021,0.0,-4.127,-0.809
-26.0,-0.792,0.204,0.01,0.0,-3.796,-0.792
-24.0,-0.776,0.175,-0.0,0.0,-3.465,-0.776
-22.0,-0.744,0.151,-0.009,0.0,-3.134,-0.744
-20.0,-0.713,0.127,-0.017,0.0,-2.803,-0.712
-18.0,-0.668,0.108,-0.023,0.002,-2.473,-0.665
-16.0,-0.623,0.09,-0.028,0.006,-2.142,-0.614
-14.0,-0.574,0.075,-0.03,0.016,-1.811,-0.554
-12.0,-0.525,0.06,-0.031,0.037,-1.48,-0.489
-10.0,-0.483,0.049,-0.028,0.088,-1.149,-0.419
-8.0,-0.44,0.037,-0.024,0.218,-0.818,-0.335
-6.0,-0.298,0.029,-0.036,0.319,-0.487,-0.21
-4.0,-0.156,0.022,-0.047,1.0,-0.156,-0.078
-2.0,0.174,0.02,-0.078,1.0,0.174,0.125
0.0,0.505,0.019,-0.109,1.0,0.505,0.25
